mode,run,phase0_status,phase0_secs,n_windows,backtracks,worst_window_status
mono,1,OPTIMAL,218.6,0,0,-
mono,2,OPTIMAL,143.4,0,0,-
mono,3,OPTIMAL,186.4,0,0,-
mono,4,UNKNOWN,300.9,0,0,-
mono,5,UNKNOWN,300.8,0,0,-
mono,6,UNKNOWN,300.9,0,0,-
mono,7,OPTIMAL,215.3,0,0,-
mono,8,OPTIMAL,4.5,0,0,-
mono,9,OPTIMAL,104.1,0,0,-
mono,10,OPTIMAL,75.3,0,0,-
monoC,1,UNKNOWN,301.0,0,0,-
monoC,2,UNKNOWN,300.8,0,0,-
monoC,3,UNKNOWN,300.9,0,0,-
monoC,4,UNKNOWN,300.9,0,0,-
monoC,5,UNKNOWN,300.8,0,0,-
monoC,6,UNKNOWN,300.9,0,0,-
monoC,7,UNKNOWN,300.9,0,0,-
monoC,8,UNKNOWN,300.9,0,0,-
monoC,9,UNKNOWN,300.9,0,0,-
monoC,10,UNKNOWN,300.8,0,0,-
