run_at,year,src_version,budget_s,starts,start_index,seed,time_to_best_s,total_s,soft_cost,feasible,winner
2026-06-27T06:39:54.601469400Z,2,89,1000,10,0,1000,257.056,1000.034,276,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,1,1001,247.769,1000.034,1078,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,2,1002,782.378,1000.034,377,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,3,1003,524.000,1000.034,273,1,1
2026-06-27T06:39:54.601469400Z,2,89,1000,10,4,1004,449.203,1000.034,1176,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,5,1005,532.618,1000.034,383,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,6,1006,440.948,1000.034,276,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,7,1007,48.343,1000.034,282,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,8,1008,434.262,1000.034,276,1,0
2026-06-27T06:39:54.601469400Z,2,89,1000,10,9,1009,66.989,1000.034,2293,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,0,1000,836.647,1000.033,1179,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,1,1001,760.942,1000.032,386,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,2,1002,674.356,1000.032,1084,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,3,1003,269.724,1000.033,288,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,4,1004,857.443,1000.033,175,1,1
2026-06-27T06:56:59.943968500Z,2,99,1000,10,5,1005,397.936,1000.033,1295,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,6,1006,576.725,1000.032,282,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,7,1007,727.508,1000.033,276,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,8,1008,587.276,1000.032,279,1,0
2026-06-27T06:56:59.943968500Z,2,99,1000,10,9,1009,690.248,1000.033,493,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,0,1000,960.817,1000.030,285,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,1,1001,228.661,1000.030,282,1,1
2026-06-27T07:14:05.368606900Z,2,100,1000,10,2,1002,846.220,1000.031,1289,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,3,1003,851.406,1000.030,1399,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,4,1004,524.088,1000.030,386,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,5,1005,647.100,1000.031,1396,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,6,1006,476.212,1000.031,1390,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,7,1007,805.256,1000.030,2296,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,8,1008,496.525,1000.030,2192,1,0
2026-06-27T07:14:05.368606900Z,2,100,1000,10,9,1009,407.756,1000.031,395,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,0,1000,683.463,1000.032,392,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,1,1001,782.288,1000.032,1298,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,2,1002,410.387,1000.032,1503,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,3,1003,837.423,1000.033,1295,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,4,1004,988.153,1000.033,282,1,1
2026-06-27T07:31:10.777594500Z,2,77,1000,10,5,1005,900.644,1000.033,1182,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,6,1006,305.213,1000.032,392,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,7,1007,421.425,1000.033,1619,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,8,1008,904.977,1000.032,496,1,0
2026-06-27T07:31:10.777594500Z,2,77,1000,10,9,1009,347.660,1000.033,1396,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,0,1000,852.051,1000.034,392,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,1,1001,548.025,1000.034,1075,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,2,1002,660.866,1000.033,392,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,3,1003,646.411,1000.034,175,1,1
2026-06-27T07:48:16.181570Z,2,94,1000,10,4,1004,63.362,1000.034,5115,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,5,1005,828.924,1000.033,282,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,6,1006,965.763,1000.035,1084,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,7,1007,909.556,1000.035,291,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,8,1008,728.283,1000.033,1292,1,0
2026-06-27T07:48:16.181570Z,2,94,1000,10,9,1009,583.121,1000.033,496,1,0
2026-06-27T08:05:21.561737700Z,2,81,1000,10,0,1000,463.812,1000.041,276,1,0
2026-06-27T08:05:21.561737700Z,2,81,1000,10,1,1001,586.557,1000.041,279,1,0
2026-06-27T08:05:21.561737700Z,2,81,1000,10,2,1002,935.808,1000.041,380,1,0
